bookID,title,authors,average_rating,publication_date,publisher,available
24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,9/5/2003,Houghton Mifflin Harcourt,1
25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,10/1/2002,Houghton Mifflin Harcourt,1
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,11/5/2003,Houghton Mifflin Harcourt,1
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,11/15/2004,Houghton Mifflin Harcourt,1
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,7/28/2005,Pragmatic Bookshelf,1
29,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,1
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,8/28/1994,Teacher Created Resources,1
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,1/23/2001,Delacorte Press,1
32,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,6/10/2003,Cherry Lane Music Company,1
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,11/1/2005,The New Press,1
34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,11/1/2005,Changeling Press,1
35,Changeling (Changeling  #1),Delia Sherman,3.6,8/17/2006,Viking Juvenile,1
36,The Changeling Sea,Patricia A. McKillip,4.06,4/14/2003,Firebird,1
37,The Changeling,Zilpha Keatley Snyder,4.17,6/8/2004,iUniverse,1
38,The Changeling,Kate Horsley,3.55,4/12/2005,Shambhala,1
39,The Changeling (Daughters of England  #15),Philippa Carr,3.98,8/28/1990,Ivy Books,1
40,The Known World,Edward P. Jones,3.83,8/29/2006,Amistad,1
41,The Known World,Edward P. Jones/Kevin R. Free,3.83,6/15/2004,HarperAudio,1
42,The Known World,Edward P. Jones,3.83,6/15/2004,Harper,1
43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,5/15/2006,FT Press,1
44,Artesia: Adventures in the Known World,Mark Smylie,4.13,12/14/2005,Archaia,1
45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,6/1/1982,Farrar  Straus and Giroux,1
46,Uncommon Carriers,John McPhee,3.95,5/16/2006,Farrar Straus Giroux,1
47,Heirs of General Practice,John McPhee,4.17,4/1/1986,Farrar  Straus and Giroux,1
48,The Control of Nature,John McPhee,4.24,9/1/1990,Farrar  Straus and Giroux,1
49,Annals of the Former World,John McPhee,4.34,1/6/1999,Farrar  Straus and Giroux,1
50,Coming Into the Country,John McPhee,4.22,4/1/1991,Farrar  Straus and Giroux,1
51,La Place de la Concorde Suisse,John McPhee,3.92,4/1/1994,Farrar  Straus and Giroux,1
52,Giving Good Weight,John McPhee,4.23,4/1/1994,Farrar  Straus and Giroux,1
53,Rising from the Plains,John McPhee,4.23,11/1/1987,Farrar  Straus and Giroux,1
54,The Heidi Chronicles,Wendy Wasserstein,3.75,3/1/2002,Dramatists Play Service,1
55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,7/2/1991,Vintage,1
56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,3/29/2006,Routledge,1
57,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,3/14/2006,North Light Books,1
58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,9/1/2003,Chosen Books,1
59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,1/28/1997,Association for Supervision & Curriculum Development,1
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,11/15/2002,Kingfisher,1
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,11/15/2004,ASCD,1
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,4/28/2003,Sovereign World,1
63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,10/16/2003,Workman Publishing Company,1
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,5/10/2004,One Hour Entertainment,1
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,8/19/2004,North Light Books,1
66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,6/15/1987,Ace Books,1
67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,7/1/1987,Ace Books,1
68,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,7/15/1987,Ace Books,1
69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,7/1/2004,Tor Books,1
70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,4/16/1984,Putnam,1
71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,8/29/2006,Tor Science Fiction,1
72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,8/15/1987,Ace Books,1
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,6/12/2002,Houghton Mifflin Harcourt,1
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9/29/1996,Ballantine Books,1
75,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9/13/2005,Delacorte Books for Young Readers,1
76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,11/1/2004,Thomas Nelson,1
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,5/19/2006,Wiley,1
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,2/7/2000,Heinemann Drama,1
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,5/3/2005,William Morrow Paperbacks,1
80,eBay for Dummies,Marsha Collier,3.5,10/30/2006,Wiley,1
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,1/24/2006,McGraw-Hill,1
82,Starting an eBay Business for Dummies,Marsha Collier,3.55,9/17/2004,Wiley,1
83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,6/6/2006,Wiley,1
84,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,5/31/2004,Wiley,1
85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,4/25/2005,Wiley,1
86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,7/29/2006,O'Reilly Media,1
87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,5/3/2005,Citadel,1
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,5/3/2005,Citadel,1
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,1/1/2007,O'Reilly Media,1
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,5/31/2004,Penguin Classics,1
91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,11/5/2002,Signet,1
92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,1/30/2003,Penguin Books,1
93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,11/26/1965,Cliffs Notes,1
94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,7/1/2003,Barnes & Noble Classics,1
95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,11/23/2004,Dover Publications,1
96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,8/26/2004,Barnes & Noble,1
97,Dinner with Anna Karenina,Gloria Goldreich,2.99,1/28/2006,Mira Books,1
98,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,11/26/1987,Cambridge University Press,1
99,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,7/3/1990,Penguin Books,1
100,The Untouchable,John Banville,3.95,6/30/1998,Vintage,1
101,The Untouchables,Eliot Ness/Oscar Fraley,3.89,2/1/1996,Buccaneer Books,1
102,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,9/27/2005,Scribner,1
103,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,1/28/1995,Clarity Press,1
104,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,12/20/2000,Rowman & Littlefield Publishers,1
105,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,9/22/2003,Pearson,1
106,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,9/28/1991,Teacher Created Resources,1
107,Wrinkles in Time,George Smoot/Keay Davidson,4.01,10/1/1994,Harper Perennial,1
108,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,5/1/2002,EMC/Paradigm Publishing,1
109,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,1/1/2002,Teaching Resources,1
110,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,6/1/1984,Turtleback Books,1
111,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,6/1/1994,Little  Brown Book Group,1
112,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,1/3/2006,William Morrow,1
113,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,11/1/2005,Atria Books,1
114,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,3/7/2006,Tor Books,1
115,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,8/10/2004,Vintage Crime/Black Lizard,1
116,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,3/8/2005,Vintage Crime/Black Lizard,1
117,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,8/10/2004,Vintage Crime/Black Lizard,1
118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,10/3/1990,Vintage,1
119,I am Charlotte Simmons,Tom Wolfe,3.42,8/30/2005,Picador USA,1
120,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,10/1/2001,Sterling,1
121,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,10/3/1996,Puffin,1
122,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,2/1/1964,New Directions Publishing,1
123,Quiet Days in Clichy,Henry Miller,3.69,1/13/1994,Grove Press,1
124,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,1/6/1994,Grove Press,1
125,Tropic of Capricorn,Henry Miller,3.78,1/13/1994,Grove Press,1
126,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,1/13/1994,Grove Press,1
127,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,1/12/1994,Grove Press,1
128,The Air-Conditioned Nightmare,Henry Miller,3.83,1/17/1970,New Directions,1
129,The Portrait of a Lady,Henry James/Patricia Crick,3.78,9/30/2003,Penguin Classics,1
130,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1/16/2004,Barnes  Noble Classics,1
131,Writing,Marguerite Duras,3.75,5/6/1999,Brookline Books,1
132,The War,Marguerite Duras/Barbara Bray,3.85,8/1/1994,The New Press,1
133,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,3/12/1986,Pantheon,1
134,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,7/1/1999,One World (UK),1
135,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,4/1/1998,Interlink Publishing Group,1
136,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,1/1/1998,Penguin Books,1
137,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,2/21/1995,Knopf,1
138,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,3/3/2003,Citadel,1
139,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,6/14/2011,Knopf,1
140,Treasure Island,Robert Louis Stevenson,3.83,9/15/2001,Kingfisher,1
141,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,10/1/2004,Sterling Children's Books,1
142,Treasure Island,Robert Louis Stevenson,3.83,6/1/2005,Simon & Schuster,1
143,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,7/1/2003,Atheneum Books for Young Readers,1
144,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,9/3/2002,Gramercy Books,1
145,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1/31/2006,Abdo Publishing Company,1
146,100 Years of Lynchings,Ralph Ginzburg,4.61,11/22/1996,Black Classic Press,1
147,Cien años de soledad,Gabriel García Márquez,4.07,1/1/1990,French & European,1
148,On Beyond Zebra!,Dr. Seuss,4.04,9/12/1955,Random House Books for Young Readers,1
149,The Wedding Clause,Debbie Raleigh,3.6,6/7/2005,Zebra,1
150,The Zebra Wall,Kevin Henkes,3.44,2/15/2005,Greenwillow Books,1
151,El perfume: Historia de un asesino,Patrick Süskind,4.02,6/1/2002,Booket,1
152,The Door Into Summer,Robert A. Heinlein,4.01,6/17/1997,Del Rey,1
153,Stranger in a Strange Land,Robert A. Heinlein,3.92,10/1/1991,Ace,1
154,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,6/1/1988,Ace Books,1
155,Job: A Comedy of Justice,Robert A. Heinlein,3.78,10/12/1985,Del Rey,1
156,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,8/8/2006,Tor Books,1
157,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,2/15/1991,Pocket Books,1
158,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,4/26/2005,Del Rey,1
159,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,12/27/2005,Del Rey,1
160,Douglas Adams's Starship Titanic,Terry Jones,3.6,10/27/1998,Ballantine Books,1
161,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,7/1/2003,Turtleback Books,1
162,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,1/12/2011,Samuel French  Inc.,1
163,On Bullshit,Harry G. Frankfurt,3.57,1/30/2005,Princeton University Press,1
164,Another Bullshit Night in Suck City,Nick Flynn,3.78,9/12/2005,W. W. Norton & Company,1
165,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,6/12/1993,Simon & Schuster,1
166,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,2/2/1998,HMH Books for Young Readers,1
167,Underworld,Don DeLillo,3.92,7/9/1998,Scribner,1
168,Libra,Don DeLillo,3.99,5/1/1991,Penguin,1
169,Americana,Don DeLillo,3.43,7/6/1989,Penguin Books,1
170,Running Dog,Don DeLillo,3.43,7/17/1989,Vintage Contemporaries,1
171,Cosmopolis,Don DeLillo,3.22,4/6/2004,Scribner,1
172,Great Jones Street,Don DeLillo,3.48,1/1/1994,Penguin Books,1
173,The Names,Don DeLillo,3.64,7/17/1989,Vintage,1
174,Against the Day,Thomas Pynchon,4.13,11/21/2006,Penguin Press,1
175,V.,Thomas Pynchon,3.96,7/5/2005,Harper Perennial Modern Classics,1
176,The Crying of Lot 49,Thomas Pynchon,3.69,4/1/1999,Harper Perennial,1
177,Gravity's Rainbow,Thomas Pynchon,4.01,1/1/2000,Penguin Books,1
178,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,1/3/2004,Picador USA,1
179,Vineland,Thomas Pynchon,3.69,9/1/1997,Penguin Classics,1
180,Gravity's Rainbow,Thomas Pynchon,4.01,10/31/2006,Penguin Books,1
181,Slow Learner: Early Stories,Thomas Pynchon,3.5,4/30/1985,Back Bay Books,1
182,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,8/29/1996,Penguin Classics,1
183,The Year of Magical Thinking,Joan Didion,3.89,10/4/2005,Knopf Publishing Group,1
184,The White Album,Joan Didion,4.17,10/1/1990,Farrar Straus Giroux,1
185,A Book of Common Prayer,Joan Didion,3.8,4/11/1995,Vintage International,1
186,Where I Was From,Joan Didion,3.86,9/14/2004,Vintage,1
187,Slouching Towards Bethlehem,Joan Didion,4.21,10/1/1990,Farrar Straus Giroux,1
188,Democracy,Joan Didion,3.81,4/25/1995,Vintage International,1
189,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,10/17/2006,Everyman's Library,1
190,Play It As It Lays,Joan Didion/David Thomson,3.87,11/15/2005,Farrar  Straus and Giroux,1
191,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,3/28/2006,Penguin Classics,1
192,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,4/7/1987,Penguin Books,1
193,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,7/7/1987,Penguin Books,1
194,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,11/1/1986,Sun and Moon Press,1
195,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,1/1/1995,Sky Books (NY),1
196,The Brooklyn Follies,Paul Auster,3.84,10/17/2006,Picador,1
197,Moon Palace,Paul Auster,3.94,4/1/1990,Penguin Books,1
198,The Music of Chance,Paul Auster,3.9,12/1/1991,Penguin Books,1
199,Travels in the Scriptorium,Paul Auster,3.23,1/23/2007,Henry Holt & Company,1
200,Leviathan,Paul Auster,3.96,9/1/1993,Penguin Books,1
201,The Red Notebook: True Stories,Paul Auster,3.77,6/17/2002,New Directions,1
202,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,11/7/2002,Actes Sud,1
203,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,12/27/2005,Penguin Books Ltd. (London),1
204,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,2/1/2006,Business Plus,1
205,Collapse of Complex Societies,Joseph A. Tainter,4.15,3/29/1990,Cambridge University Press,1
206,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,8/7/2001,Simon  Schuster,1
207,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,1/29/2002,Ballantine Books,1
208,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,9/17/1998,W. W. Norton  Company,1
209,My Inventions,Nikola Tesla,4.01,5/17/2006,Filiquarian Publishing  LLC.,1
210,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,2/1/2001,Citadel,1
211,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,10/1/1994,Lerner Publications,1
212,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,12/1/2000,Adventures Unlimited Press,1
213,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,6/27/2006,Harlequin Blaze,1
214,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,10/11/2004,Pragmatic Bookshelf,1
215,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,6/13/2000,Cliffs Notes,1
216,Lord of the Flies,William Golding,3.68,10/11/2005,Listening Library (Audio),1
217,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,9/12/2006,Random House,1
218,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,1/1/1989,HarperCollins Publishers,1
219,The Lovely Bones,Alice Sebold,3.81,6/1/2003,Picador,1
220,The Lovely Bones,Alice Sebold,3.81,4/1/2004,Large Print Press,1
221,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,5/13/1990,Ballantine Books,1
222,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,2/17/2005,Peachpit Press,1
223,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,8/1/2006,Peachpit Press,1
224,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,5/15/2005,Taschen,1
225,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,6/13/2006,Scribner,1
226,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,7/2/2004,Scribner,1
227,Vice (V  #8),Jane Feather,3.51,5/2/1996,Bantam,1
228,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,4/25/2006,HarperTorch,1
229,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,4/1/2005,Walker & Company,1
230,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,11/19/1990,William Morrow Paperbacks,1
231,Motorcycle Basics Techbook,John Harold Haynes,3.85,7/5/2002,Haynes Manuals N. America  Inc.,1
232,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,9/1/2004,Rockport Publishers,1
233,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,4/1/2003,Signet Classics,1
234,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,6/25/1998,Oxford University Press,1
235,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,9/8/2006,Dover Publications,1
236,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,8/1/1999,Plume,1
237,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,12/1/1963,Signet Book,1
238,The Fountainhead,Ayn Rand,3.87,4/26/2005,Dutton,1
239,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,11/1/1964,Signet,1
240,Anthem,Ayn Rand,3.63,12/1/1999,NAL,1
241,We the Living,Ayn Rand/Leonard Peikoff,3.91,1/1/1996,Signet,1
242,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,7/15/1986,Signet,1
243,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,2/1/1997,NAL,1
244,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,6/1/2006,For Dummies,1
245,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,7/25/2006,Delacorte Press,1
246,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,9/17/2002,Random House Trade Paperbacks,1
247,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,4/1/2004,Lyons Press,1
248,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,1/1/2004,Alliance Publishing,1
249,The Natural,Bernard Malamud/Kevin Baker,3.63,7/7/2003,Farrar Straus Giroux,1
250,Digging to America,Anne Tyler,3.55,5/2/2006,Alfred A. Knopf,1
251,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,1/21/2004,Bedford Books,1
252,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,10/7/2004,Oxford University Press  USA,1
253,The Plot Against America,Philip Roth,3.77,9/27/2005,Vintage International,1
254,Naked Pictures of Famous People,Jon   Stewart,3.59,9/22/1999,Dey Street Books,1
255,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,5/13/2008,Harper Perennial Modern Classics,1
